label,area,perimeter,eccentricity,solidity,major_axis,minor_axis,orientation,circularity,feret_diameter,centroid_x,centroid_y
1,46.0,23.899,0.6777,0.9200,9.0703,6.6701,48.0561,1.0120,9.4340,150.0000,3.3478
2,51.0,23.899,0.5997,0.9623,8.9954,7.1985,87.0881,1.1220,9.4868,415.7451,4.8235
3,51.0,23.314,0.5995,1.0000,8.9618,7.1729,90.0000,1.1791,9.2195,328.0000,8.0000
4,48.0,23.071,0.5026,0.9600,8.3953,7.2580,-74.1904,1.1332,8.9443,430.6042,11.0000
5,50.0,23.657,0.5408,0.9804,8.7130,7.3287,74.8551,1.1227,9.4340,149.5000,14.2200
6,28.0,17.657,0.7542,0.9333,7.3678,4.8383,-76.0484,1.1286,7.6158,114.9286,15.1786
7,75.0,29.314,0.3916,0.9615,10.1670,9.3551,81.6996,1.0968,10.7703,461.6533,20.9467
8,39.0,21.657,0.8421,0.9750,9.5662,5.1595,-86.1806,1.0449,9.2195,133.1282,24.1026
9,70.0,29.692,0.6516,0.9333,10.8964,8.2651,0.2560,0.9977,11.7047,376.7571,27.5286
10,25.0,17.278,0.8586,0.8929,8.0014,4.1015,29.8539,1.0523,8.5440,343.7600,31.6400
11,84.0,31.556,0.2489,0.9545,10.5241,10.1930,-49.1052,1.0600,11.4018,374.6071,37.0357
12,51.0,23.899,0.3787,0.9444,8.3589,7.7363,-74.7654,1.1220,8.9443,456.5686,37.3137
13,38.0,19.899,0.4464,1.0000,7.3703,6.5951,-38.4939,1.2059,7.6158,242.4211,41.1579
14,19.0,16.692,0.9310,0.8261,8.1638,2.9792,25.9584,0.8569,7.6158,3.7368,43.0000
15,58.0,25.314,0.5043,0.9667,9.2177,7.9595,90.0000,1.1374,9.4868,84.0000,43.3793
16,105.0,36.971,0.5531,0.9130,12.7121,10.5909,-36.9286,0.9654,13.4164,364.6000,45.7905
17,54.0,24.728,0.5528,0.9643,9.0993,7.5824,-11.3252,1.1098,9.4868,194.4444,47.1852
18,60.0,26.485,0.5209,0.9375,9.4683,8.0826,-79.2023,1.0749,9.8489,424.9833,46.2167
19,117.0,38.971,0.7988,0.9750,15.7542,9.4784,70.6637,0.9681,16.1555,334.0171,49.6068
20,83.0,31.556,0.7127,0.9765,12.2755,8.6114,69.9127,1.0474,12.6491,312.3494,52.2048
21,59.0,26.728,0.6042,0.9365,9.7242,7.7487,-82.1269,1.0378,10.4403,51.1695,53.6271
22,113.0,36.971,0.5969,0.9576,13.3857,10.7397,88.0585,1.0389,13.6015,272.0265,55.9115
23,46.0,23.314,0.4678,0.9020,8.1455,7.1992,-43.0443,1.0635,8.9443,450.1087,58.5652
24,41.0,22.243,0.8226,0.9762,9.5829,5.4494,4.2636,1.0414,9.4868,502.0244,61.1951
25,90.0,34.728,0.7796,0.9474,13.6570,8.5527,11.8836,0.9378,13.9284,290.8333,67.4333
26,54.0,24.485,0.6244,0.9818,9.3551,7.3074,-85.8112,1.1319,9.4868,110.2037,64.9444
27,45.0,24.485,0.8679,0.9000,10.7878,5.3592,79.4052,0.9432,10.4403,483.4222,73.4444
28,64.0,28.142,0.7383,0.9275,10.9986,7.4180,77.8706,1.0155,11.4018,66.1094,75.6875
29,43.0,21.071,0.3978,1.0000,7.6917,7.0569,-45.0000,1.2170,8.0623,417.1163,79.1163
30,46.0,22.485,0.2985,0.9583,7.8164,7.4600,90.0000,1.1433,8.5440,188.9130,85.0000
31,51.0,23.899,0.7212,0.9808,9.6458,6.6815,-66.5008,1.1220,9.8489,380.1373,87.0588
32,52.0,24.728,0.4628,0.9123,8.6511,7.6687,64.6618,1.0687,9.4868,440.0769,87.2115
33,21.0,15.071,0.7089,0.9130,6.1793,4.3584,-79.2401,1.1618,6.3246,536.4762,88.7619
34,89.0,32.971,0.6609,0.9468,12.2839,9.2192,63.4493,1.0288,13.0000,240.4607,92.4494
35,53.0,24.485,0.3213,0.9464,8.4359,7.9887,70.4897,1.1109,8.9443,372.4340,91.1887
36,53.0,24.485,0.6626,0.9636,9.4848,7.1040,90.0000,1.1109,9.4868,526.0000,92.3019
37,60.0,26.485,0.7527,0.9836,10.7579,7.0831,-77.6417,1.0749,10.7703,482.4333,93.9000
38,67.0,27.899,0.6153,0.9710,10.4215,8.2151,82.4073,1.0817,10.7703,20.8657,96.2836
39,66.0,28.142,0.5781,0.9296,10.1503,8.2824,31.1024,1.0472,10.7703,152.0455,100.7273
40,133.0,42.385,0.5941,0.9301,14.6243,11.7641,-18.6680,0.9303,15.6525,225.3609,108.7970
41,49.0,23.899,0.6836,0.9423,9.2415,6.7454,-6.6422,1.0780,9.4868,336.0204,108.0408
42,52.0,23.899,0.5991,0.9811,9.0658,7.2589,-77.5683,1.1440,9.4868,124.7885,110.0769
43,125.0,42.627,0.8274,0.9259,16.9069,9.4951,-23.8767,0.8645,17.4642,214.6880,114.5680
44,58.0,29.314,0.9028,0.9206,13.0995,5.6339,20.0445,0.8482,13.0000,230.7586,127.5172
45,43.0,22.243,0.6889,0.9556,8.6944,6.3024,85.1393,1.0922,8.9443,383.4186,124.3256
46,47.0,23.071,0.7219,0.9792,9.2791,6.4212,-86.4765,1.1096,9.4868,517.7660,125.4468
47,65.0,28.142,0.4888,0.9155,9.7420,8.4991,78.9109,1.0314,10.4403,174.4615,130.3538
48,56.0,25.071,0.6499,0.9825,9.6637,7.3443,-11.1264,1.1196,9.8489,119.9643,134.9286
49,72.0,28.728,0.3330,0.9600,9.8542,9.2917,24.1321,1.0963,10.7703,282.1389,135.2917
50,66.0,27.314,0.5764,0.9706,10.1201,8.2697,-89.2454,1.1117,10.4403,134.4697,139.5758
51,77.0,29.556,0.3845,0.9747,10.2918,9.5006,60.8070,1.1076,10.7703,160.6364,140.7532
52,62.0,30.385,0.8909,0.9118,13.2365,6.0132,29.5093,0.8439,13.0000,257.7742,142.3548
53,74.0,30.142,0.4995,0.9250,10.4299,9.0355,27.4262,1.0235,11.1803,429.3243,146.4865
54,22.0,15.657,0.7648,0.8800,6.5794,4.2389,19.9842,1.1278,6.7082,509.3182,144.5455
55,57.0,25.314,0.5974,0.9661,9.4962,7.6153,69.3361,1.1178,9.8489,372.0175,146.1404
56,25.0,17.071,0.7829,0.9259,7.1862,4.4707,66.7135,1.0780,7.2801,145.0400,148.0400
57,72.0,29.314,0.6814,0.9600,11.1923,8.1914,39.9285,1.0529,11.6619,174.9444,153.4583
58,55.0,24.485,0.6531,1.0000,9.5762,7.2517,74.8104,1.1528,9.8489,206.0000,154.0000
59,58.0,25.899,0.7024,0.9667,10.1583,7.2308,80.1045,1.0866,10.4403,450.2414,155.9828
60,52.0,24.485,0.4840,0.9286,8.6824,7.5979,45.0000,1.0899,9.4340,66.6154,165.3846
61,73.0,28.971,0.2272,0.9605,9.7810,9.5252,-71.5024,1.0930,10.4403,235.5205,171.5205
62,45.0,22.485,0.5844,0.9375,8.3885,6.8070,59.5804,1.1185,8.9443,376.6222,174.0889
63,22.0,15.071,0.5680,0.9565,5.8576,4.8210,25.4697,1.2172,6.3246,527.6818,177.2727
64,51.0,23.899,0.6603,0.9623,9.2729,6.9640,82.4871,1.1220,9.4868,435.8627,179.7843
65,113.0,36.385,0.2873,0.9826,12.2675,11.7504,-43.1372,1.0726,13.0000,159.5310,184.6460
66,38.0,20.485,0.6667,0.9500,8.0394,5.9917,0.0000,1.1379,8.2462,537.5789,182.5000
67,50.0,24.142,0.5640,0.9259,8.7867,7.2560,31.7509,1.0780,9.4868,480.6200,183.8600
68,50.0,23.899,0.6307,0.9434,9.0440,7.0185,41.8094,1.1000,9.4340,299.2400,184.5400
69,45.0,22.485,0.5373,0.9375,8.2495,6.9577,84.9733,1.1185,8.5440,363.5778,186.6222
70,60.0,26.485,0.7294,0.9677,10.5432,7.2123,76.1735,1.0749,10.7703,405.3833,187.0667
